age,grs,grs.ci,age,shrb,shrb.ci,age,lf,lf.ci,age,lc,lc.ci,age,fr,fr.ci,age,sl,sl.ci,age,soilc,soilc2
11,1.557935213,0.028238991,11,1.205794469,0.011605256,11,1.385865334,0.026644326,11,4.566551096,0.083937448,11,2.934399322,0.068430261,11,31.43101663,0.042638521,11,148.0097045,151.7287097
12,1.555541727,0.028403205,12,1.206359766,0.011659181,12,1.391385491,0.026680927,12,4.570280773,0.08405105,12,2.934015778,0.068469571,12,32,0.042756519,12,148.1164596,151.83352
13,1.55314824,0.028567419,13,1.206925063,0.011713105,13,1.396905649,0.026717528,13,4.57401045,0.084164652,13,2.933632235,0.068508882,13,32.40317494,0.042874517,13,148.2232146,151.9383303
14,1.550754754,0.028731632,14,1.207490361,0.01176703,14,1.402425806,0.026754129,14,4.577740127,0.084278254,14,2.933248692,0.068548193,14,33.06683725,0.042992514,14,148.3299697,152.0431406
15,1.548361268,0.028895846,15,1.208055658,0.011820954,15,1.407945963,0.02679073,15,4.581469803,0.084391856,15,2.932865148,0.068587503,15,33.68807212,0.043110512,15,149.3294723,152.1479508
16,1.545967781,0.02906006,16,1.208620955,0.011874879,16,1.41346612,0.026827331,16,4.58519948,0.084505458,16,2.932481605,0.068626814,16,34.28474689,0.04322851,16,151.323751,152.2527611
17,1.543574295,0.029224274,17,1.209186253,0.011928803,17,1.418986278,0.026863932,17,4.588929157,0.08461906,17,2.932098062,0.068666124,17,34.76698555,0.043346508,17,153.3180296,152.3575714
18,1.541180808,0.029388487,18,1.20975155,0.011982728,18,1.424506435,0.026900533,18,4.592658834,0.084732662,18,2.931714518,0.068705435,18,35.3026264,0.043464505,18,155.3123083,152.4623817
19,1.538787322,0.029552701,19,1.210316848,0.012036652,19,1.430026592,0.026937134,19,4.596388511,0.084846264,19,2.931330975,0.068744745,19,35.94863069,0.043582503,19,155.3295872,152.567192
20,1.536393835,0.029716915,20,1.210882145,0.012090577,20,1.43554675,0.026973735,20,4.600118188,0.084959866,20,2.930947432,0.068784056,20,36.62065808,0.043700501,20,155.2338947,152.6720022
21,1.534000349,0.029881129,21,1.211447442,0.012144501,21,1.441066907,0.027010336,21,4.603847864,0.085073468,21,2.930563888,0.068823366,21,37.2268964,0.043818499,21,155.1382023,152.7768125
