year,lrf.m,lrf.sd,lrf.se,year,lff.m,lff.sd,lff.se,year,lcf.m,lcf.sd,lcf.se,year,stdi.m,stdi.sd,stdi.se,year,smdi.m,smdi.sd,smdi.se,year,tsdi.m,tsdi.sd,tsdi.se,year,leach.m,leach.sd,leach.se
11,12.2218191,0.669911847,0.191403385,11,1.809764578,0.124258009,0.035502288,11,0.061088983,0.00594633,0.001698951,11,-16.58683917,3.207388454,0.916396701,11,0.911107669,2.056338531,0.587525295,11,-17.32541346,2.803228547,0.800922442,11,0.717611462,0.201811165,0.057660333
12,14.81268837,0.778163514,0.222332433,12,2.176498299,0.147302645,0.04208647,12,0.113867853,0.01116313,0.003189466,12,-16.85003471,3.293928921,0.941122549,12,0.90983027,2.051784915,0.586224261,12,-17.58918647,2.908184968,0.830909991,12,0.717370422,0.201825044,0.057664298
13,18.00625849,0.730787594,0.208796456,13,2.632608693,0.139364583,0.039818452,13,0.193100876,0.019000895,0.005428827,13,-16.95240737,3.348959972,0.956845706,13,0.912885616,2.056502578,0.587572165,13,-17.6940333,2.968907852,0.848259386,13,0.717129526,0.201838931,0.057668266
14,21.11656916,0.705996229,0.201713208,14,3.076268406,0.134491126,0.038426036,14,0.295589244,0.029243828,0.00835538,14,-17.10576931,3.393306437,0.969516125,14,0.916564378,2.062618806,0.589319659,14,-17.85030531,3.014583022,0.861309435,14,0.716888774,0.201852827,0.057672236
15,24.05061529,0.698719022,0.199634006,15,3.493723734,0.13213792,0.037753691,15,0.419618408,0.041753946,0.011929699,15,-17.29303957,3.435433132,0.981552324,15,0.920343648,2.068968504,0.591133858,15,-18.04058515,3.057874098,0.873678314,15,0.716648165,0.201866732,0.057676209
16,26.79965227,0.70461292,0.201317977,16,3.883588829,0.131493243,0.037569498,16,0.56379762,0.056435854,0.01612453,16,-17.50222635,3.478251196,0.993786056,16,0.92412517,2.075329979,0.592951423,16,-18.25279652,3.102334921,0.886381406,16,0.7164077,0.201880646,0.057680184
17,29.42666934,0.724918859,0.207119674,17,4.248948809,0.132402267,0.037829219,17,0.726870055,0.073205385,0.020915824,17,-17.74503216,3.514309076,1.004088308,17,0.91560929,2.062347735,0.58924221,17,-18.48860265,3.149805858,0.899944531,17,0.71526593,0.201946945,0.057699127
18,31.94228142,0.758655504,0.216758715,18,4.591393645,0.13479511,0.038512889,18,0.907679207,0.091983631,0.026281038,18,-18.00899634,3.550381827,1.014394808,18,0.903607211,2.04396138,0.583988966,18,-18.74273295,3.200044217,0.914298348,18,0.713874139,0.202028283,0.057722367
19,34.34784042,0.803614418,0.229604119,19,4.912221743,0.138576977,0.039593422,19,1.105151246,0.112694779,0.032198508,19,-18.28619306,3.588592495,1.025312141,19,0.89157432,2.025611995,0.578746284,19,-19.01007889,3.252407533,0.929259295,19,0.712487135,0.202109912,0.057745689
20,36.64946095,0.858035013,0.245152861,20,5.212862684,0.143651928,0.041043408,20,1.318287261,0.135265697,0.038647342,20,-18.57362075,3.628479878,1.036708537,20,0.879506638,2.007292686,0.573512196,20,-19.28763363,3.30632263,0.944663609,20,0.711104613,0.202191842,0.057769098
21,38.85395159,0.920480309,0.262994374,21,5.494702888,0.149905577,0.042830165,21,1.546158333,0.159625996,0.045607427,21,-18.86923292,3.669646207,1.048470345,21,0.867403043,1.98900437,0.568286963,21,-19.57334855,3.361314497,0.96037557,21,0.709727087,0.202274037,0.057792582
22,40.9645747,0.989492507,0.282712145,22,5.763673293,0.157396994,0.04497057,22,1.7878963,0.185706996,0.053059142,22,-19.17943096,3.707032793,1.059152227,22,0.847423017,1.958738026,0.559639436,22,-19.86723639,3.417348778,0.976385365,22,0.706337677,0.202478655,0.057851044
23,42.98602696,1.063858374,0.303959536,23,6.023265456,0.166025415,0.047435833,23,2.042697153,0.213443422,0.060983835,23,-19.50134085,3.741953147,1.069129471,23,0.821223557,1.919325599,0.548378743,23,-20.16777415,3.474099239,0.992599783,23,0.701411803,0.202782042,0.057937726
24,43.93537627,1.121012988,0.320289425,24,6.273083939,0.175480037,0.050137153,24,2.309816428,0.242773343,0.069363812,24,-19.73644798,3.765638226,1.075896636,24,0.793830733,1.877663961,0.536475417,24,-20.38068446,3.518319855,1.005234244,24,0.696545643,0.203088715,0.058025347
25,45.01651816,1.189617687,0.339890768,25,6.513561101,0.185522004,0.053006287,25,2.588558949,0.273636652,0.078181901,25,-19.99497417,3.788768835,1.082505381,25,0.767188751,1.838264049,0.5252183,25,-20.61746659,3.560311029,1.017231723,25,0.69173751,0.2033985,0.058113857
26,46.06651943,1.267139582,0.362039881,26,6.745275734,0.195998714,0.055999632,26,2.87827811,0.305975645,0.087421613,26,-20.27593869,3.814242463,1.089783561,26,0.74064395,1.799693907,0.514198259,26,-20.87678402,3.603901232,1.029686066,26,0.68698578,0.20371123,0.058203209
