"","year","lrf.m","lrf.sd","lrf.l","lff.m","lff.sd","lff.l","lcf.m","lcf.sd","lcf.l","stdi.m","stdi.sd","stdi.l","smdi.m","smdi.sd","smdi.l","tsdi.m","tsdi.sd","tsdi.l"
"year11",11,14.0736718099346,0.944715395255123,50,1.41195137778592,0.117769235760203,50,0.0147128193941325,0.00464533787251815,50,-12.4634362120724,2.71836501066931,50,2.31541817077043,2.25207843828381,50,-14.4441443958328,1.72283757114425,50
"year12",12,14.5031594607689,1.0392324607983,50,1.33486221334101,0.131216072850636,50,0.022260298744734,0.00713588563965329,50,-12.9157474159298,2.73451402210514,50,2.2983583704964,2.23041584811333,50,-14.8903581990277,1.78565416799924,50
"year13",13,16.7768344845234,0.943964869215056,50,1.48711034142027,0.120058176060048,50,0.0356991960907601,0.0112940655612547,50,-12.846842903248,2.72869736688131,50,2.30217826167329,2.23045328190053,50,-14.8248146314081,1.78433449721856,50
"year14",14,19.2155181048395,0.897735888474461,50,1.66608014047961,0.114787956903534,50,0.0524061375002702,0.0164627293835397,50,-12.8671498135015,2.73512363703542,50,2.30904018532437,2.23354903118174,50,-14.8507825516806,1.78882032969938,50
"year15",15,21.5749448644587,0.875563412138868,50,1.84199321841886,0.112362768755003,50,0.0718368949316658,0.0224301166452296,50,-12.9459830379487,2.74695487455207,50,2.31644501360842,2.23717939951864,50,-14.9358668667069,1.799800814489,50
"year16",16,23.8157921878157,0.862800392196833,50,2.0097040690676,0.110948480593901,50,0.0937824244764767,0.0291121866819862,50,-13.0534733588531,2.76137975342271,50,2.32395689677488,2.24091881047213,50,-15.0497641998346,1.81465564792289,50
"year17",17,25.9480404348014,0.855568944703851,50,2.17001779266763,0.110029801911786,50,0.118099485741201,0.0364596550051504,50,-13.2073971422287,2.7667761048745,50,2.30328645635352,2.23099677954641,50,-15.1858721559995,1.83227051907623,50
"year18",18,27.974101865201,0.8528373349307,50,2.32275533632847,0.109417239948965,50,0.144669607860367,0.0444353119458881,50,-13.3823294520968,2.77048570788956,50,2.27466878429873,2.21730744007999,50,-15.336165094011,1.85169161882479,50
"year19",19,29.8969860439147,0.854275351943117,50,2.46791678079019,0.109008673756674,50,0.173383718838351,0.0530061243763969,50,-13.5668122754307,2.77521504640344,50,2.24604431063443,2.20371011817241,50,-15.4960105315817,1.87233514044571,50
"year20",20,31.7219032831468,0.859988351262399,50,2.6058371851432,0.108775583265528,50,0.204139050470147,0.0621412683411822,50,-13.7586980126488,2.78076319590108,50,2.21740702534364,2.19020096527321,50,-15.6632519798541,1.89388219545623,50
"year21",21,33.4542758860801,0.870192209122537,50,2.73690258671691,0.108723062637463,50,0.236838942004555,0.0718117664155088,50,-13.9565691861437,2.78699273166161,50,2.18875266296066,2.17677934532054,50,-15.8364667009962,1.91612164189304,50
"year22",22,35.0982147981716,0.884885827266935,50,2.86507553820295,0.109135460895956,50,0.27138873093663,0.0819894403203354,50,-14.1776629037805,2.78757733450102,50,2.14221520319527,2.15510864234912,50,-16.0175253550621,1.93913599377448,50
"year23",23,36.6585009093182,0.904066088049597,50,2.99156439046844,0.110128916970651,50,0.307702474811816,0.0926485306520798,50,-14.4174722606086,2.78414599562206,50,2.08160579928316,2.12724894724599,50,-16.2052005568042,1.96279640533512,50
"year24",24,38.1404762025657,0.927698198111558,50,3.11475157388498,0.111507648316803,50,0.345702046060761,0.103765406896831,50,-14.660238574072,2.78132326665216,50,2.02158224923163,2.09924288857687,50,-16.396342499599,1.9868329708883,50
"year25",25,39.54868425331,0.955544329020769,50,3.23449777065974,0.11313612321739,50,0.385311428008297,0.11531724855614,50,-14.9044184124467,2.77874336455617,50,1.96275011778798,2.07049100385824,50,-16.589929795201,2.01113593320728,50
"year26",26,40.8873221023074,0.987270816109384,50,3.35091954812246,0.114966145295067,50,0.426458395729807,0.127282692937021,50,-15.1504980808681,2.77694914322637,50,1.90389319253346,2.04221482879533,50,-16.7853982842189,2.03556923790662,50
"year27",27,42.1654094782806,1.02272439375953,50,3.46638046866166,0.117136459208711,50,0.468903158244866,0.1395879181992,50,-15.3915000791087,2.77835514283948,50,1.85232634399555,2.01789659186274,50,-16.9820549722694,2.06006093536337,50
"year28",28,43.3941172780749,1.0617778412936,50,3.58409134518712,0.119868250929879,50,0.512472174125249,0.152178765875329,50,-15.6215835877394,2.78505625963469,50,1.8149497094245,2.00061180887531,50,-17.1799882362615,2.08463964057799,50
"year29",29,44.5718109067083,1.10362514504635,50,3.70158922025246,0.122953036509161,50,0.557026778066466,0.165013848124949,50,-15.8535506295975,2.79218043204306,50,1.77756757413038,1.98355066787823,50,-17.3798053427738,2.10935101666128,50
"year30",30,45.7006865538305,1.14766534056607,50,3.81846162587859,0.126232984095056,50,0.602481182651283,0.178068978105317,50,-16.086115655183,2.79960073487493,50,1.7401684369339,1.96670864915028,50,-17.5802088872427,2.13403105303692,50
"year31",31,46.8477562873456,1.19546173565588,50,3.93464725430685,0.129647605997395,50,0.64872478453817,0.191312758579751,50,-16.3266093398165,2.8081332371347,50,1.70298123485537,1.95036296009352,50,-17.7886953352677,2.15952372416195,50
"year32",32,47.8982258798379,1.24302751249921,50,4.05090190707246,0.133219931637695,50,0.695615795730974,0.204703766262878,50,-16.5615050263329,2.81633013241262,50,1.66565459760509,1.93399197074306,50,-17.9915169171297,2.18437343449501,50
"year33",33,48.8887566241911,1.29060218851674,50,4.17227912971027,0.137257447775517,50,0.743384931491954,0.218316233511015,50,-16.7895577621145,2.82416821642974,50,1.62991661400506,1.91788639761007,50,-18.188848376937,2.20838498240316,50
"year34",34,49.8281089175056,1.3387499540619,50,4.29571323325085,0.141589062033206,50,0.791940141476429,0.232126368168734,50,-17.0143545472017,2.83147792405829,50,1.59475706865439,1.90147443536568,50,-18.3834163199174,2.23186226757732,50
"year35",35,50.7203222378959,1.38748365515694,50,4.42058261284162,0.146059649816069,50,0.841196576739533,0.24610833304562,50,-17.2372083393317,2.83879859096039,50,1.55958093429434,1.8852874701155,50,-18.5760264599848,2.25495293703682,50
"year36",36,51.5683494200654,1.43663080764373,50,4.5466928224122,0.150612812661793,50,0.891189598686878,0.260273813719967,50,-17.4582395596685,2.84614922869729,50,1.52438951943665,1.86933328935038,50,-18.7668012903397,2.27769237696551,50
"year37",37,52.4136444325194,1.48676340339525,50,4.67394433934472,0.155229195279432,50,0.942052715079662,0.274665863122526,50,-17.6822649762314,2.85407133420845,50,1.48930614056867,1.85377577166055,50,-18.9606480134709,2.30065642861168,50
"year38",38,53.2489712138307,1.53665473561847,50,4.79162221078625,0.159197023677031,50,0.993131055136831,0.289089169571597,50,-18.0232868278901,2.83070024237804,50,1.33851309763393,1.78192247362911,50,-19.1721014139758,2.32573119506214,50
"year39",39,54.0696239898138,1.58632306260116,50,4.90456491558159,0.162753142188468,50,1.04460935308871,0.303591973318556,50,-18.3639791260519,2.79518128470324,50,1.18715557044329,1.6999932881013,50,-19.3825702318685,2.34911717588642,50
"year40",40,54.8752419153043,1.6358655882164,50,5.01457314229503,0.166249804208876,50,1.09688003572699,0.318296607509834,50,-18.6921775368564,2.75986079485866,50,1.04673530256826,1.61662958610143,50,-19.5899436244957,2.37214618360236,50
"year41",41,55.6664704757191,1.6850074302582,50,5.1221424941066,0.169790457802274,50,1.14984494840611,0.333181062087273,50,-19.0012418496372,2.72221583587971,50,0.923678473564896,1.52810855564144,50,-19.7930529310667,2.3946318760257,50
"year42",42,56.4080644366016,1.73315384934272,50,5.22747622732924,0.173382980733165,50,1.20347616883212,0.348238675964225,50,-19.2909198303745,2.69396035269403,50,0.813523032057092,1.43773262701715,50,-19.9880207420098,2.41744192751117,50
"year43",43,58.245360422681,1.79786198457616,50,5.32763838556653,0.177002340524405,50,1.25780025110489,0.363470689238784,50,-19.6206154931889,2.72225350790529,50,0.802486440673859,1.42821917745694,50,-20.3080034323102,2.45470600507726,50
"year44",44,59.6133356361899,1.85791468330174,50,5.42285169926139,0.180558375988424,50,1.31245420852022,0.378766508249388,50,-19.8786362042273,2.76237162037596,50,0.828817399452549,1.45523653433471,50,-20.5886726828525,2.48889102317931,50
